ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7,amusement,awe,contentment,excitement,anger,disgust,fear,sadness,something else
80565,ba9b75,d8c79e,c8a580,d8c79e,a98859,b1987d,b28f5e,ddcdbd,bc9b60,d3c180,c8a580,b1987d,58493f,9b6f51,0.0672971010208129,0.0726623013615608,0.1883854120969772,0.0391620695590972,0.0556835159659385,0.0833613872528076,0.0660528540611267,0.1220185160636901,0.305376797914505
199054,837b71,a9a194,8f877c,a9a194,6d655c,837b71,645d54,6e655c,837b71,797167,8f877c,443e39,a0978a,b2aa9d,0.0575709231197834,0.0699717625975608,0.2014275938272476,0.0345248207449913,0.0560209602117538,0.0751731917262077,0.0424050129950046,0.1288716793060302,0.3340339362621307
79856,43403c,867e74,73665a,99968e,362f2d,50504b,6b625b,85857f,6d503e,50504b,362f2d,7a7367,a49c8f,b7b4ac,0.0535253211855888,0.1309758424758911,0.1582143008708953,0.0644931942224502,0.0333294011652469,0.081865020096302,0.1510422974824905,0.1107305511832237,0.2158241271972656
78590,4f524a,9d8c79,aa9c88,8f7c69,444037,59645d,867a6e,5d7166,998a76,82604b,565754,aa9c88,323735,564838,0.0325605794787406,0.1741790473461151,0.2219894081354141,0.0521479398012161,0.0265243221074342,0.0548361949622631,0.088647224009037,0.1704558283090591,0.1786594241857528
100305,8c5648,9a5a4c,96584b,9a5a4c,6f5042,95584a,353742,905e44,95584a,7d5a41,96584b,50403f,98584b,9b5d4d,0.0540251955389976,0.0492650382220745,0.1970161944627761,0.0210296139121055,0.0571527257561683,0.063417799770832,0.0341671295464038,0.1489151716232299,0.3750110864639282
100311,13171d,2a2a2b,1a2224,13171d,272226,4b453d,4c3431,293435,a68f69,272226,1a2224,13171d,634e3e,8c6f54,0.0523439049720764,0.0633334890007972,0.217511773109436,0.0210402645170688,0.0425957329571247,0.0550152249634265,0.0439352020621299,0.1621174365282058,0.3421069383621216
80559,6b6836,a19240,92813a,6b6836,ad9e39,b5a952,ad9e39,767539,b5a642,605b33,92813a,b0a652,b3aa62,beb77e,0.0518328472971916,0.1044110283255577,0.1809014528989792,0.0417650677263736,0.0333999954164028,0.0963915735483169,0.0984405651688575,0.1219484582543373,0.2709090709686279
79842,bda455,cdb45b,cdb45b,c3aa58,b09750,bea455,b99f53,b19752,b59c51,bea455,cdb45b,c3aa58,605033,9c8049,0.0464222617447376,0.0493599064648151,0.1946111619472503,0.0165794882923364,0.0550586692988872,0.0567373596131801,0.0326150208711624,0.1793363392353058,0.3692797422409057
78584,212b38,5a5f60,384149,212b38,656560,95958f,1f2329,34393b,3c4956,233247,838481,a6a69d,5f5d56,6a6c6b,0.059273675084114,0.1276993751525879,0.1940132528543472,0.0315841920673847,0.0258168447762727,0.0522483736276626,0.1417731493711471,0.2024016082286834,0.1651894599199295
205986,bcbab2,d5d4ce,cdcdc9,d5d4ce,8c857c,cbc9bb,cdcdc9,3b2d2b,cbc9bb,d5d4ce,bcbaad,a5a190,43332f,615a54,0.0854890197515487,0.0723244845867157,0.1926956474781036,0.0340014956891536,0.0473429486155509,0.0620365962386131,0.0470347702503204,0.1129554882645607,0.3461195230484009
79473,5a5954,838279,797767,8d8d8b,504f46,636461,7c7f69,848281,59594c,766f65,474540,979994,616157,65676b,0.0494456924498081,0.082731045782566,0.1997784823179245,0.027745883911848,0.049088679254055,0.0676938071846962,0.0717392638325691,0.1848036348819732,0.2669734954833984
79467,453a24,ac8f5e,9d733c,453a24,a89367,d0c498,25231b,dad0aa,c5b786,9b8147,a89367,9e6432,584124,726135,0.0783141329884529,0.075808085501194,0.2316035032272339,0.0490396432578563,0.0472042709589004,0.0651262998580932,0.0488527417182922,0.1041691377758979,0.2998821139335632
78779,4b4232,898370,6f6855,4b4232,8c8266,bab9b1,e5e5e5,c8c8c5,8c8266,60523a,6f6855,37322a,92918b,aaa48e,0.0896703675389289,0.13776196539402,0.1911188066005706,0.0375883281230926,0.0170834679156541,0.05411908775568,0.1385394632816314,0.1203639954328537,0.2137544006109237
205992,19181b,999588,19181b,514c37,cac6be,f8f6f5,f8f6f5,f2f0ef,9b9581,19181b,8a8471,514c37,c5c3bf,e6e4e2,0.0737596675753593,0.0529977865517139,0.1680527329444885,0.0240242294967174,0.0618072785437107,0.0620303377509117,0.0532412938773632,0.1380957514047622,0.3659909069538116
79301,504839,ada382,c4bf9b,504839,8b785c,a19474,726955,8c8066,615440,a19474,373128,8b7152,b6b08f,d1cfa8,0.029235741123557,0.1821692585945129,0.1831976324319839,0.0453174486756324,0.0250194761902093,0.0496060624718666,0.129436656832695,0.1845814883708953,0.1714361757040023
82825,4d4742,a09c8f,a09c8f,3a3735,504740,6f675f,8a8376,3f3a37,363332,787166,504740,5c5450,9f9888,a2a095,0.1240402981638908,0.0850686281919479,0.1899253875017166,0.039546463638544,0.0296307280659675,0.0620752424001693,0.1163805872201919,0.114429734647274,0.2389028966426849
78989,393635,6c5e54,5f4843,393635,5d6765,948067,332a25,91774e,3e4245,7e7e78,5f4843,5d6765,a38279,c4a797,0.0592962466180324,0.0834988355636596,0.1959310472011566,0.0535784102976322,0.0634438544511795,0.0861692950129509,0.0712388753890991,0.125170961022377,0.2616724967956543
78751,cfd0c2,e9ebdf,dbddcf,e9ebdf,b7b7a7,ced0c4,ced0c4,c7c8bc,a19d84,dbddcf,e9ebdf,bebead,716f64,979074,0.1181016489863395,0.0699549615383148,0.1943229585886001,0.0428023524582386,0.0327167883515358,0.0743989646434784,0.0506653115153312,0.0795837864279747,0.3374532461166382
78745,c09d78,d9b189,bfa68c,c19463,d5a975,ddb99d,bc8d5b,c49560,cb9d67,d5a975,ddb99d,9d7a5d,ba997e,c3b39b,0.0620943345129489,0.1197480261325836,0.2748354971408844,0.0436076298356056,0.0229236260056495,0.0493428595364093,0.0411026924848556,0.1030438914895057,0.2833015322685241
80015,504538,836f55,715c44,504538,857154,a59576,ad9b76,5f503e,95846a,715c44,857154,beb08f,322d29,50473c,0.0381342954933643,0.1499766856431961,0.1880979984998703,0.04885745793581,0.022379882633686,0.0564893521368503,0.1566414535045623,0.1420430839061737,0.1973797529935836
78976,292629,2f2c30,2d2a2e,292629,2f2b30,312e32,2f2b30,2f2d31,312d32,2d2a2e,322e32,292629,332f33,423f40,0.0475802943110466,0.0423008166253566,0.164934903383255,0.0167680941522121,0.0651139542460441,0.061993334442377,0.0351477600634098,0.1554195433855056,0.4107412695884704
185657,dad6cd,e1dcd4,dcd9d0,e1dcd4,d4d0c7,dbd7cd,dcd9d0,d4cfc6,dbd7cd,dad6cc,d8d4cb,e1dcd4,9e9b95,cfcbc2,0.0580562390387058,0.0535521879792213,0.1632633954286575,0.022245867177844,0.0630682110786438,0.0703961625695228,0.0454874970018863,0.1460275053977966,0.3779028356075287
78962,665b56,c3b3a7,594940,726d6d,b99f8f,cec7bf,757569,d3c8af,758894,cec7bf,9f776f,594940,6d5a54,6f5d65,0.0320071056485176,0.234443724155426,0.2986747920513153,0.066388763487339,0.0108662219718098,0.0293781086802482,0.0713028162717819,0.1063240319490432,0.1506143063306808
205951,4b4c58,a8a2a4,eae9e6,4b4c58,5c484b,6f707a,5c5e6b,616370,eae9e6,c6c6c2,808085,5c484b,42424c,545563,0.092492938041687,0.0654345750808715,0.2282281070947647,0.0380047932267189,0.0420674122869968,0.055663838982582,0.0334532372653484,0.0905099734663963,0.3541450798511505
78792,433e3b,af9a4d,a18a4a,bdaa51,332925,545250,bba647,a29056,a0843e,6a6758,3d3e48,c0ae5a,1e1c22,483529,0.1116233319044113,0.1132213622331619,0.1371006071567535,0.0849839150905609,0.028572479262948,0.0818888694047927,0.1917342394590377,0.1007778793573379,0.1500973403453827
118984,5a4d2a,b79a3b,3a3428,79662d,ad8e37,c2a63f,4c3f23,474738,6d5729,2c2622,c2a63f,857431,a48a36,b59338,0.0481821149587631,0.107062816619873,0.1973113268613815,0.0457048490643501,0.0393572486937046,0.0813982337713241,0.1028689965605735,0.1462008357048034,0.2319136410951614
78619,5e5844,a89467,987c59,b8ab75,4d4333,706e54,aca77e,c5bb89,b6a667,5e4c39,706e54,3b392e,956c4c,9c8d66,0.0962786599993705,0.1730902940034866,0.300998330116272,0.0440329052507877,0.0132870059460401,0.0400632917881011,0.0388792343437671,0.1594266444444656,0.1339436322450637
79507,545c4f,a5b7b8,2d3b49,a5b7b8,676652,909458,8aa6b6,2e476a,a99e64,778b4d,2c2f28,676652,a6bfc5,d8d2b0,0.1783207207918167,0.0992274582386016,0.2366567999124527,0.0810470432043075,0.0228393860161304,0.0568068921566009,0.0424856580793857,0.0670638009905815,0.2155521512031555
79275,3d3824,a6985c,96823d,b5ae7c,1e1d19,5d532f,b4a760,9d935e,1e1d19,c2be98,6f6433,4b422c,877034,a59445,0.0730121210217475,0.10842826962471,0.177498921751976,0.0568823926150798,0.051201794296503,0.0781040787696838,0.0838435664772987,0.1275810152292251,0.243447795510292
419716,4c5f62,ab8484,a16765,4c5f62,bc8c80,aeb7c7,477152,a07781,a2574a,482f37,bc8c80,aeb7c7,4c586e,568193,0.1506284475326538,0.1405420005321502,0.2243207246065139,0.0769949480891227,0.0228604581207036,0.0698761865496635,0.0537496246397495,0.0960702821612358,0.1649572700262069
78631,2b2d27,7a6639,2b2d27,57523d,9e772f,9a7c3a,a77d32,a67c31,9e772f,2b2d27,8e7a41,57523d,a97f33,a98437,0.0799122601747512,0.0725408568978309,0.2137709856033325,0.0379086248576641,0.0444990210235118,0.0710161179304122,0.0553579330444335,0.1145155951380729,0.3104785978794098
134301,a99993,dad9d7,dad9d7,cac5c3,64423a,ab9a8b,5e302b,dad9d7,cac5c3,4c2823,827465,643c35,9f937d,b7a09a,0.0649888888001442,0.0492694787681102,0.1998732835054397,0.0234806537628173,0.0569003261625766,0.0645478218793869,0.0335818417370319,0.1295386254787445,0.3778190910816192
79249,5f4f42,81705d,79614d,89806d,5a4536,64594d,635345,665a4d,817565,5a4536,64625d,79614d,8a816d,9a937e,0.0521247088909149,0.1167149543762207,0.1871273219585418,0.0474893823266029,0.0300606470555067,0.0830372646450996,0.1172986030578613,0.1213897839188575,0.2447572350502014
80161,212732,7b6d56,212732,594a3d,8d7c56,aca588,b4ab8c,704732,a59f84,6b634f,8d7c56,212732,44362c,454748,0.049701128154993,0.2938672602176666,0.2117805033922195,0.0801672041416168,0.0112373195588588,0.0416844561696052,0.0970403552055358,0.0848287865519523,0.1296929568052292
78802,c0ac9f,d9d1c5,cdc1b3,d9d1c5,a2837a,c5ab9a,aa766e,986f67,cdc1b3,aa9589,c5ab9a,d9d1c5,795f58,847770,0.0858237370848655,0.185355931520462,0.2083637118339538,0.0834566950798034,0.0159704908728599,0.0941277593374252,0.0542255491018295,0.1010670810937881,0.1716089695692062
80607,aca390,c2bca7,bab098,c2bca7,928a7c,a9a293,8c877e,898175,a9a293,9e9382,bab098,c2bca7,6a675d,887f6f,0.0849825143814086,0.0741037055850029,0.2113200724124908,0.0374691262841224,0.042563147842884,0.0655600801110267,0.0555815920233726,0.113892450928688,0.3145272731781006
78816,443f2f,948d73,443f2f,b9b499,665840,78735a,504c39,665840,cbc5a7,6d6953,837d62,a7a38a,2d2a1f,453a28,0.0652907714247703,0.1114182323217392,0.1885775625705719,0.0582716092467308,0.0413209572434425,0.0584768801927566,0.1182092055678367,0.1275015920400619,0.230933204293251
80175,9d9a8a,c1baaa,a6a99f,948a75,bfae94,c3c6bf,928c78,c3c6bf,857865,a6a99f,a4987e,656357,bca48a,c1b89e,0.0769421383738517,0.1222031265497207,0.2463783025741577,0.0517295263707637,0.0245664753019809,0.0735703185200691,0.0603755116462707,0.1156760081648826,0.2285586893558502
186570,313960,b0beca,111d51,b0beca,4b474d,54638f,32478a,767f93,2d3141,99aab8,c7d3db,695d59,0e132d,152876,0.1083875894546508,0.1225442513823509,0.3138005435466766,0.0926374942064285,0.012195854447782,0.0398933067917823,0.0448043011128902,0.053213071078062,0.2125236093997955
79063,45423e,bcbbb9,d8dce1,a19b90,302c27,5a5855,1f1d1a,403a33,b0aca2,95928d,d8dce1,8e8171,504d4a,646361,0.0235457271337509,0.2307637929916381,0.3205349147319793,0.0621632598340511,0.0089145116508007,0.0244594421237707,0.0501096434891223,0.1459796726703643,0.1335290670394897
160208,494848,756f66,5c5a57,494848,716b60,a89c8a,b0a18c,938878,c2b59f,5c5a57,d5cbba,494848,656664,7d705d,0.0851777791976928,0.097523808479309,0.1886797845363617,0.0365457944571971,0.0289623271673917,0.0823101848363876,0.0720111429691314,0.1011505648493766,0.3076384663581848
79711,465c59,869d91,728d79,465c59,7c969b,b8c2b9,485e6a,59776e,688375,7c969b,3c4e46,b8c2b9,798776,7ea884,0.0470921210944652,0.0924224033951759,0.1895853728055954,0.0462890081107616,0.0455327965319156,0.0911646038293838,0.0802603065967559,0.1307211816310882,0.2769322693347931
